"Window","Maximize Active View or Editor","Ctrl+M","In Windows"
"Window","Update Project","Alt+F5","In Windows"
"Git","Paste Repository Path or URI","Ctrl+V","In Git Repositories View"
"Source","Toggle Ant Mark Occurrences","Shift+Alt+O","Editing Ant Buildfiles"
"Text Editing","Move Lines Up","Alt+Up","Editing Text"
"Run/Debug","Run JUnit Test","Shift+Alt+X T","In Windows"
"File","New","Ctrl+N","In Windows"
"Window","Toggle Split Editor (Vertical)","Ctrl+{","In Windows"
"Task Repositories","New Local Task","Insert","In Tasks View"
"File","Rename","F2","In Windows"
"Text Editing","Toggle Overwrite","Insert","Editing Text"
"File","Properties","Alt+Enter","In Windows"
"Edit","Toggle Block Selection","Shift+Alt+A","Editing Text"
"Window","Previous View","Shift+Ctrl+F7","In Windows"
"Task Repositories","Quick Outline","Ctrl+O","In Tasks Editor"
"Window","Previous Perspective","Shift+Ctrl+F8","In Windows"
"Task Repositories","Show Tooltip Description","F4","In Tasks View"
"Run/Debug","Debug","F11","In Windows"
"Navigate","Backward History","Alt+Left","In Windows"
"Run/Debug","All Instances","Shift+Ctrl+N","In Windows"
"Views","Show View (Search)","Shift+Alt+Q S","In Windows"
"Navigate","Next Page","Alt+F7","In Windows"
"Edit","Incremental Find Reverse","Shift+Ctrl+J","Editing Text"
"Run/Debug","Previous Page of Memory","Shift+Ctrl+,","In Table Memory Rendering"
"Navigate","Collapse All","Shift+Ctrl+Numpad_Divide","In Windows"
"Source","Remove Occurrence Annotations","Shift+Alt+U","Editing Java Source"
"Refactor - Java","Rename - Refactoring ","Shift+Alt+R","In Windows"
"Edit","Add Block Comment","Shift+Ctrl+/","Editing in Structured Text Editors"
"Text Editing","Select Next Word","Shift+Ctrl+Right","Editing Text"
"Edit","Word Completion","Alt+/","Editing Text"
"Edit","Paste","Ctrl+V","In Dialogs and Windows"
"Edit","Remove Block Comment","Shift+Ctrl+\","Editing in Structured Text Editors"
"Git","Commit...","Ctrl+#","In Windows"
"File","Close","Ctrl+W","In Windows"
"Edit","Occurrences in File","Shift+Ctrl+A","Editing in Structured Text Editors"
"Run/Debug","Debug JUnit Test","Shift+Alt+D T","In Windows"
"Views","Show View (Variables)","Shift+Alt+Q V","In Windows"
"Search","References in Workspace","Shift+Ctrl+G","In Windows"
"Navigate","Open Call Hierarchy","Ctrl+Alt+H","In Windows"
"Edit","Cut","Ctrl+X","In Dialogs and Windows"
"Text Editing","Duplicate Lines","Ctrl+Alt+Up","Editing Text"
"Source","Open Declaration","F3","Editing Ant Buildfiles"
"View","Zoom Out","Ctrl+-","In Windows"
"Text Editing","Join Lines","Ctrl+Alt+J","Editing Text"
"Text Editing","Previous Word","Ctrl+Left","Editing Text"
"Navigate","Quick Outline","Ctrl+O","Editing in Structured Text Editors"
"Window","Next Perspective","Ctrl+F8","In Windows"
"Navigate","Deactivate Task","Shift+Ctrl+F9","In Windows"
"Source","Add Javadoc Comment","Shift+Alt+J","In Windows"
"Source","Open External Documentation","Shift+F2","Editing Ant Buildfiles"
"Task Repositories","Open Selected Task","Ctrl+Enter","In Tasks View"
"Navigate","Show In Breadcrumb","Shift+Alt+B","Editor Breadcrumb Navigation"
"Run/Debug","Next Memory Monitor","Ctrl+Alt+N","In Memory View"
"Source","Toggle Mark Occurrences","Shift+Alt+O","Editing Java Source"
"Text Editing","Move Lines Down","Alt+Down","Editing Text"
"Navigate","Open Resource","Shift+Ctrl+R","In Windows"
"Task Repositories","Mark Task Incomplete","Shift+Alt+I","In Tasks View"
"Edit","Select Enclosing Element","Shift+Alt+Up","Editing Java Source"
"Navigate","Open Task","Ctrl+F12","In Windows"
"Search","Declaration in Workspace","Ctrl+G","In Windows"
"Run/Debug","Terminate","Ctrl+F2","Debugging"
"Source","Annotate Class File","Ctrl+1","Browsing attached Java Source"
"Run/Debug","Add Memory Block","Ctrl+Alt+M","In Memory View"
"Task Repositories","Mark Task Read","Shift+Alt+R","In Tasks Editor"
"Navigate","Show In Breadcrumb","Shift+Alt+B","Editing Java Source"
"Run/Debug","Step Over","F6","Debugging"
"Source","Snipmatch Snippet Completion","Ctrl+Alt+Space","Editing Text"
"Search","Open Search Dialog","Ctrl+H","In Windows"
"Text Editing","Insert Line Above Current Line","Shift+Ctrl+Enter","Editing Text"
"Refactor - Java","Move - Refactoring ","Shift+Alt+V","In Windows"
"Source","Format","Shift+Ctrl+F","Editing Java Source"
"Focused UI","Show Context Quick View","Shift+Ctrl+Alt+Right","In Windows"
"Run/Debug","Debug Ant Build","Shift+Alt+D Q","In Windows"
"Run/Debug","Use Step Filters","Shift+F5","In Windows"
"Navigate","Matching Character","Shift+Ctrl+P","Editing in Structured Text Editors"
"Run/Debug","Run Maven Build","Shift+Alt+X M","In Windows"
"Run/Debug","Go to Address","Ctrl+G","In Table Memory Rendering"
"Run/Debug","EOF","Ctrl+D","In I/O Console"
"Run/Debug","Resume","F8","Debugging"
"Navigate","Go to Next Member","Shift+Ctrl+Down","Editing Java Source"
"Task Editor","Maximize Part","Shift+Ctrl+M","In Tasks Editor"
"Window","Show Ruler Context Menu","Ctrl+F10","Editing Text"
"Window","Toggle Split Editor (Horizontal)","Ctrl+_","In Windows"
"Source","Toggle Comment","Shift+Ctrl+C","Editing Properties Files"
"Refactor - Java","Extract Local Variable","Shift+Alt+L","In Windows"
"Text Editing","Show Tooltip Description","F2","Editing Text"
"Run/Debug","Run Java Application","Shift+Alt+X J","In Windows"
"Search","Find Text in Workspace","Ctrl+Alt+G","In Windows"
"Views","Show View (History)","Shift+Alt+Q Z","In Windows"
"Edit","Quick Fix","Ctrl+1","In Dialogs and Windows"
"Navigate","Open Remote Task","Shift+Ctrl+Alt+F12","In Windows"
"Run/Debug","Run to Line","Ctrl+R","Debugging"
"Window","Show View Menu","Ctrl+F10","In Dialogs and Windows"
"File","Close All","Shift+Ctrl+F4","In Windows"
"Navigate","Activate Task","Ctrl+F9","In Windows"
"Run/Debug","Run Ant Build","Shift+Alt+X Q","In Windows"
"File","Print","Ctrl+P","In Windows"
"Edit","Select All","Ctrl+A","In Dialogs and Windows"
"Task Repositories","Mark Task Read and Go To Next Unread Task","Shift+Alt+Down","In Tasks View"
"Focused UI","Make Less Interesting","Shift+Ctrl+Alt+Down","In Windows"
"Navigate","Open Maven POM","Shift+Alt+P","In Windows"
"Text Editing","Expand All","Ctrl+Numpad_Multiply","Editing Text"
"Navigate","Open Type Hierarchy","F4","In Windows"
"Navigate","Go To Next Unread Task","Alt+Down","In Tasks View"
"Edit","Restore Last Selection","Shift+Alt+Down","Editing Java Source"
"Refactor - Java","Extract Method","Shift+Alt+M","In Windows"
"Edit","Redo","Shift+Ctrl+Z","In Dialogs and Windows"
"File","Close All","Shift+Ctrl+W","In Windows"
"Text Editing","Select Previous Word","Shift+Ctrl+Left","Editing Text"
"Edit","Format Active Elements","Ctrl+I","Editing in Structured Text Editors"
"Edit","Copy","Ctrl+C","In Dialogs and Windows"
"Edit","Find Next","Ctrl+K","Editing Text"
"Source","Rename In File","Shift+Alt+R","Editing Ant Buildfiles"
"Text Editing","Next Word","Ctrl+Right","Editing Text"
"Edit","Select Previous Element","Shift+Alt+Left","Editing in Structured Text Editors"
"Window","Switch to Editor","Shift+Ctrl+E","In Windows"
"Views","Show View (Declaration)","Shift+Alt+Q D","In Windows"
"Task Repositories","Mark Task Complete","Shift+Alt+C","In Tasks Editor"
"Edit","Find Previous","Shift+Ctrl+K","Editing Text"
"Text Editing","Select Line Start","Shift+Home","Editing Text"
"Views","Show View (Cheat Sheets)","Shift+Alt+Q H","In Windows"
"Task Repositories","Mark Task Read","Shift+Alt+R","In Tasks View"
"Edit","Cut","Shift+Delete","In Dialogs and Windows"
"Text Editing","Select Line End","Shift+End","Editing Text"
"Text Editing","To Lower Case","Shift+Ctrl+Y","Editing Text"
"Views","Refresh View (Gradle Tasks)","F5","In Gradle Tasks View"
"Navigate","Show In...","Shift+Alt+W","In Windows"
"File","Save All","Shift+Ctrl+S","In Windows"
"Edit","Select Previous Element","Shift+Alt+Left","Editing Java Source"
"Navigate","Open Type in Hierarchy","Shift+Ctrl+H","In Windows"
"Navigate","Open Type","Shift+Ctrl+T","In Windows"
"Source","Format","Shift+Ctrl+F","Editing Ant Buildfiles"
"Views","Show View (Outline)","Shift+Alt+Q O","In Windows"
"Focused UI","Make Landmark","Shift+Ctrl+Alt+Up","In Windows"
"Window","Previous Editor","Shift+Ctrl+F6","In Windows"
"Navigate","Open Declaration","F3","In Windows"
"Window","Show Key Assist","Shift+Ctrl+L","In Dialogs and Windows"
"Navigate","Previous","Ctrl+,","In Windows"
"Run/Debug","Debug Java Application","Shift+Alt+D J","In Windows"
"Navigate","Go to Line","Ctrl+L","Editing Text"
"Text Editing","Delete Next Word","Ctrl+Delete","Editing Text"
"Edit","Select Next Element","Shift+Alt+Right","Editing in Structured Text Editors"
"Text Editing","Text End","Ctrl+End","Editing Text"
"Views","Show View (Problems)","Shift+Alt+Q X","In Windows"
"Source","Correct Indentation","Ctrl+I","Editing Java Source"
"Edit","Select Enclosing Element","Shift+Alt+Up","Editing in Structured Text Editors"
"Navigate","Search Repository for Task","Shift+Ctrl+F12","In Windows"
"Run/Debug","Display","Shift+Ctrl+D","In Dialogs and Windows"
"WindowBuilder Pro","Empty command","Shift+Ctrl+A","WindowBuilder Java scope"
"Edit","Copy","Ctrl+Insert","In Dialogs and Windows"
"File","New menu","Shift+Alt+N","In Windows"
"Navigate","Go to Previous Member","Shift+Ctrl+Up","Editing Java Source"
"Run/Debug","Execute","Ctrl+U","In Windows"
"Text Editing","Expand","Ctrl+Numpad_Add","Editing Text"
"Edit","Content Assist","Ctrl+Space","In Dialogs and Windows"
"Window","Select Maven Profiles","Ctrl+Alt+P","In Windows"
"Text Editing","Delete to End of Line","Shift+Ctrl+Delete","Editing Text"
"Run/Debug","Force Return","Shift+Alt+F","In Windows"
"Git","Copy Path to Clipboard","Ctrl+C","In Git Repositories View"
"Run/Debug","Display","Shift+Ctrl+V","In Dialogs and Windows"
"WindowBuilder Pro","Switch Source/Design Views","F12","Editing Text"
"Task Repositories","Mark Task Unread","Shift+Alt+U","In Tasks Editor"
"Text Editing","Toggle Folding","Ctrl+Numpad_Divide","Editing Text"
"Window","Show Contributing Plug-in","Shift+Alt+F3","In Dialogs and Windows"
"Text Editing","Delete Previous Word","Ctrl+Backspace","Editing Text"
"Source","Quick Assist - Extract method","Ctrl+2 M","Editing Java Source"
"Edit","Toggle Comment","Shift+Ctrl+C","Editing in Structured Text Editors"
"WindowBuilder Pro","Empty command","Ctrl+Alt+A","WindowBuilder Java scope"
"Edit","Add Maven Dependency","Shift+Ctrl+D","Editing XML Source"
"Uncategorized","Copy SHA-1","Ctrl+C","In Git Reflog View"
"Edit","Next Sibling","Shift+Ctrl+Down","Editing in Structured Text Editors"
"Edit","Open Selection","F3","Editing in Structured Text Editors"
"Views","Show View (Error Log)","Shift+Alt+Q L","In Windows"
"Refactor - Java","Change Method Signature","Shift+Alt+C","In Windows"
"Edit","Select Next Element","Shift+Alt+Right","Editing Java Source"
"Window","Next View","Ctrl+F7","In Windows"
"Source","Toggle Comment","Shift+Ctrl+C","Editing Java Source"
"Task Repositories","Mark Task Unread","Shift+Alt+U","In Tasks View"
"Navigate","Quick Outline","Ctrl+O","Editing Java Source"
"Search","Show Occurrences in File Quick Menu","Ctrl+Alt+U","In Windows"
"Source","Organize Imports","Shift+Ctrl+O","In Windows"
"View","Zoom In","Ctrl+=","In Windows"
"Navigate","Go to Matching Bracket","Shift+Ctrl+P","Editing Java Source"
"Run/Debug","Toggle Memory Monitors Pane","Ctrl+T","In Memory View"
"Edit","Matching Tag","Shift+Ctrl+>","Editing in Structured Text Editors"
"Source","Add Block Comment","Shift+Ctrl+/","Editing Java Source"
"Run/Debug","Step Return","F7","Debugging"
"Source","Toggle Comment","Ctrl+7","Editing Java Source"
"Navigate","Expand All","Shift+Ctrl+Numpad_Multiply","In Windows"
"Source","Quick Assist - Assign to local variable","Ctrl+2 L","Editing Java Source"
"Text Editing","Collapse All","Shift+Ctrl+Numpad_Divide","Editing Text"
"Text Editing","Text Start","Ctrl+Home","Editing Text"
"Run/Debug","Skip All Breakpoints","Ctrl+Alt+B","In Windows"
"Navigate","Next Sub-Tab","Alt+PageDown","In Dialogs and Windows"
"Edit","Previous Sibling","Shift+Ctrl+Up","Editing in Structured Text Editors"
"Navigate","Go To Previous Unread Task","Alt+Up","In Tasks View"
"Text Editing","Insert Line Below Current Line","Shift+Enter","Editing Text"
"Focused UI","Focus on Active Task","Shift+Alt+H","In Windows"
"Task Repositories","Mark Task Incomplete","Shift+Alt+I","In Tasks Editor"
"Uncategorized","Show Markup Cheat Sheet","F1","WikiText Markup Source Context"
"File","Save","Ctrl+S","In Windows"
"File","Refresh","F5","In Windows"
"Run/Debug","New Rendering","Ctrl+N","In Memory View"
"Edit","Incremental Find","Ctrl+J","Editing Text"
"Text Editing","Delete Line","Shift+Ctrl+D","Editing Text"
"Source","Toggle Comment","Ctrl+7","Editing Properties Files"
"Window","Next Editor","Ctrl+F6","In Windows"
"Refactor - Java","Show Refactor Quick Menu","Shift+Alt+T","In Windows"
"Views","Show View (Type Hierarchy)","Shift+Alt+Q T","In Windows"
"Run/Debug","Toggle Breakpoint","Shift+Ctrl+B","In Windows"
"Run/Debug","Close Rendering","Ctrl+W","In Memory View"
"Text Editing","Reset Structure","Shift+Ctrl+Numpad_Multiply","Editing Text"
"Edit","Paste","Shift+Insert","In Dialogs and Windows"
"Run/Debug","Inspect","Shift+Ctrl+I","In Dialogs and Windows"
"Navigate","Quick Outline","Shift+Ctrl+O","Task Markup Editor Source Context"
"Text Editing","Line End","End","Editing Text"
"Views","Show View (Javadoc)","Shift+Alt+Q J","In Windows"
"Refactor - Java","Inline","Shift+Alt+I","In Windows"
"Run/Debug","Step Into","F5","Debugging"
"Window","Quick Access","Ctrl+3","In Windows"
"Edit","Delete","Delete","In Windows"
"Navigate","Quick Hierarchy","Ctrl+T","Editing Java Source"
"Window","Quick Switch Editor","Ctrl+E","In Windows"
"Edit","Format","Shift+Ctrl+F","Editing in Structured Text Editors"
"Run/Debug","Run Java Applet","Shift+Alt+X A","In Windows"
